disease,drug,se
TB,Levofloxacin,Pruritus genital
TB,Levofloxacin,Pseudomembranous colitis
TB,Levofloxacin,Rash erythematous
TB,Levofloxacin,Rash follicular
TB,Levofloxacin,Red blood cell disorders
TB,Levofloxacin,Respiratory depression
TB,Levofloxacin,Retrosternal pain
TB,Levofloxacin,Rigors
TB,Levofloxacin,Skin exfoliation
TB,Levofloxacin,Slurred speech
TB,Levofloxacin,Stinging
TB,Levofloxacin,Sweating increased
TB,Levofloxacin,Swelling face
TB,Levofloxacin,Swollen tongue
TB,Levofloxacin,Taste bitter
TB,Levofloxacin,Tendon disorder
TB,Levofloxacin,Tendon rupture
TB,Levofloxacin,Throat irritation
TB,Levofloxacin,Tongue oedema
TB,Levofloxacin,Unspecified disorder of skin and subcutaneous tissue
TB,Levofloxacin,Vaginal moniliasis
TB,Levofloxacin,Vesiculobullous rash
TB,Levofloxacin,Visual acuity reduced
TB,Levofloxacin,Visual disturbance
TB,Levofloxacin,WBC abnormal NOS
TB,Moxifloxacin,Abdominal discomfort
TB,Moxifloxacin,Abdominal pain upper
TB,Moxifloxacin,Abnormal dreams
TB,Moxifloxacin,Abnormal sensation in eye
TB,Moxifloxacin,Abnormal vision
TB,Moxifloxacin,Acute myocardial ischemia
TB,Moxifloxacin,Allergic oedema
TB,Moxifloxacin,Amylase increased
TB,Moxifloxacin,Anaphylactoid reaction
TB,Moxifloxacin,Antibiotic associated colitis
TB,Moxifloxacin,Blood amylase increased
TB,Moxifloxacin,Blood creatinine increased
TB,Moxifloxacin,Blood glucose increased
TB,Moxifloxacin,Blood lactate dehydrogenase increased
TB,Moxifloxacin,Blood pressure increased
TB,Moxifloxacin,Blood triglycerides increased
TB,Moxifloxacin,Blood urea increased
TB,Moxifloxacin,Blood uric acid increased
TB,Moxifloxacin,Chest discomfort
TB,Moxifloxacin,Conjunctival haemorrhage
TB,Moxifloxacin,Coordination abnormal
TB,Moxifloxacin,Corneal deposits
TB,Moxifloxacin,Corneal epithelium defect
TB,Moxifloxacin,Corneal staining
TB,Moxifloxacin,Cough increased
TB,Moxifloxacin,Cramps of lower extremities
TB,Moxifloxacin,Decreased appetite
TB,Moxifloxacin,Disorientation
TB,Moxifloxacin,Drug level increased
TB,Moxifloxacin,Dry eye
TB,Moxifloxacin,Electrocardiogram abnormal
TB,Moxifloxacin,Enzyme abnormality
TB,Moxifloxacin,Eye irritation
TB,Moxifloxacin,Eye pruritus
TB,Moxifloxacin,Eyelid oedema
TB,Moxifloxacin,Fluid intake reduced
TB,Moxifloxacin,Gamma globulins increased
TB,Moxifloxacin,Gastrointestinal candidiasis
TB,Moxifloxacin,Haematocrit decreased
TB,Moxifloxacin,Hand pain
TB,Moxifloxacin,Hepatic enzyme increased
TB,Moxifloxacin,Hepatitis cholestatic
TB,Moxifloxacin,Hepatitis fulminant
TB,Moxifloxacin,Hepatocellular injury
TB,Moxifloxacin,Hyperchlorhydria
TB,Moxifloxacin,Hypomenorrhoea
TB,Moxifloxacin,Increased appetite
TB,Moxifloxacin,Infestation NOS
TB,Moxifloxacin,Infusion site reactions
TB,Moxifloxacin,Injection site hypersensitivity
TB,Moxifloxacin,Injection site inflammation
TB,Moxifloxacin,Injection site pain
TB,Moxifloxacin,Injection site swelling
TB,Moxifloxacin,International normalised ratio abnormal
TB,Moxifloxacin,International normalised ratio decreased
TB,Moxifloxacin,Kidney function abnormal
TB,Moxifloxacin,Laboratory test abnormal
TB,Moxifloxacin,Lack of drug effect
TB,Moxifloxacin,Lactation female
TB,Moxifloxacin,Lactic dehydrogenase activity increased
TB,Moxifloxacin,Leg pain
TB,Moxifloxacin,Liver function test abnormal
TB,Moxifloxacin,Lymphangitis
TB,Moxifloxacin,Monocytosis
TB,Moxifloxacin,Mood swings
TB,Moxifloxacin,Musculoskeletal chest pain
TB,Moxifloxacin,NPN increased
TB,Moxifloxacin,Ocular discomfort
TB,Moxifloxacin,Ocular hyperaemia
TB,Moxifloxacin,Oral fungal infection
TB,Moxifloxacin,Oral infection
TB,Moxifloxacin,PCO2
TB,Moxifloxacin,Partial permanent deafness
TB,Moxifloxacin,Prothrombin level increased
TB,Moxifloxacin,Prothrombin time shortened
TB,Moxifloxacin,Pseudomembranous colitis
TB,Moxifloxacin,Purpuric rash
TB,Moxifloxacin,Reaction aggravation
TB,Moxifloxacin,Red blood cell sedimentation rate increased
TB,Moxifloxacin,Renal pain
TB,Moxifloxacin,Retrosternal pain
TB,Moxifloxacin,Salivary gland enlargement
TB,Moxifloxacin,Stinging
TB,Moxifloxacin,Subconjunctival hemorrhage
TB,Moxifloxacin,Tachyarrhythmia
TB,Moxifloxacin,Tendon disorder
TB,Moxifloxacin,Tendon rupture
TB,Moxifloxacin,Thinking abnormal
TB,Moxifloxacin,Thromboplastin decreased
TB,Moxifloxacin,Tongue discolouration
TB,Moxifloxacin,Tongue disorder
TB,Moxifloxacin,Tongue oedema
TB,Moxifloxacin,Transaminases increased
TB,Moxifloxacin,Unspecified disorder of skin and subcutaneous tissue
TB,Moxifloxacin,Urine abnormality
TB,Moxifloxacin,Vaginal moniliasis
TB,Moxifloxacin,Vesiculobullous rash
TB,Moxifloxacin,Visual acuity reduced
TB,Moxifloxacin,Visual disturbance
TB,Moxifloxacin,Vulvovaginal mycotic infection
TB,Moxifloxacin,Vulvovaginal pruritus
TB,Gatifloxacin,Abnormal vision
TB,Gatifloxacin,Acute allergic reaction
TB,Gatifloxacin,Blepharitis allergic
TB,Gatifloxacin,Chronic conjunctivitis
TB,Gatifloxacin,Conjunctival disorder
TB,Gatifloxacin,Conjunctival haemorrhage
TB,Gatifloxacin,Conjunctival irritation
TB,Gatifloxacin,Conjunctivitis papillary
TB,Gatifloxacin,Corneal defect
TB,Gatifloxacin,Corneal deposits
TB,Gatifloxacin,Corneal thinning
TB,Gatifloxacin,Cramps of lower extremities
TB,Gatifloxacin,Dry eye
TB,Gatifloxacin,Eye discharge
TB,Gatifloxacin,Eye irritation
TB,Gatifloxacin,Eyelid oedema
TB,Gatifloxacin,Generalized urticaria
TB,Gatifloxacin,Hypoglycaemic coma
TB,Gatifloxacin,Kidney function abnormal
TB,Gatifloxacin,Lacrimation increased
TB,Gatifloxacin,Methicillin-resistant Staphylococcus aureus infection
TB,Gatifloxacin,Oedema mouth
TB,Gatifloxacin,Pseudomembranous colitis
TB,Gatifloxacin,Punctate keratitis
TB,Gatifloxacin,Retrosternal pain
TB,Gatifloxacin,Subepithelial opacities
TB,Gatifloxacin,Tendon rupture
TB,Gatifloxacin,Thinking abnormal
TB,Gatifloxacin,Tongue oedema
TB,Gatifloxacin,Vesiculobullous rash
TB,Gatifloxacin,Visual acuity reduced
TB,Bedaquiline,Alcohol poisoning
TB,Bedaquiline,Blood amylase increased
TB,Bedaquiline,Hepatic enzyme increased
TB,Bedaquiline,Transaminases increased
TB,Delamanid,Abdominal discomfort
TB,Delamanid,Abdominal pain lower
TB,Delamanid,Abdominal pain upper
TB,Delamanid,Abdominal tenderness
TB,Delamanid,Balance disorder
TB,Delamanid,Blood cortisol decreased
TB,Delamanid,Blood cortisol increased
TB,Delamanid,Blood pressure increased
TB,Delamanid,Chest discomfort
TB,Delamanid,Decreased appetite
TB,Delamanid,Depressed mood
TB,Delamanid,Dry eye
TB,Delamanid,Dry throat
TB,Delamanid,Dysphoria
TB,Delamanid,Eosinophilic pustular folliculitis
TB,Delamanid,Feeling hot
TB,Delamanid,Infestation NOS
TB,Delamanid,Oropharyngeal pain
TB,Delamanid,Paraesthesia oral
TB,Delamanid,Poor quality sleep
TB,Delamanid,Pruritus generalised
TB,Delamanid,Radicular pain
TB,Delamanid,Rash erythematous
TB,Delamanid,Throat irritation
TB,Delamanid,Transaminases increased
TB,Delamanid,Unspecified disorder of skin and subcutaneous tissue
TB,Linezolid,Abdominal pain generalised
TB,Linezolid,Abdominal pain localised
TB,Linezolid,Amylase increased
TB,Linezolid,Aplasia
TB,Linezolid,Catheter site pain
TB,Linezolid,Catheter site phlebitis
TB,Linezolid,Creatine phosphokinase serum increased
TB,Linezolid,Decreased appetite
TB,Linezolid,Disorientation
TB,Linezolid,Impaired healing
TB,Linezolid,Increased thirst
TB,Linezolid,Laboratory test abnormal
TB,Linezolid,Lactic dehydrogenase activity increased
TB,Linezolid,Liver function test abnormal
TB,Linezolid,Loose stools
TB,Linezolid,Pain localised
TB,Linezolid,Platelet count decreased
TB,Linezolid,Red man syndrome
TB,Linezolid,Sweating increased
TB,Linezolid,Tongue discolouration
TB,Linezolid,Vaginal moniliasis
TB,Pretomanid,Abnormal weight loss
TB,Pretomanid,Acid or sour stomach
TB,Pretomanid,Acne
TB,Pretomanid,Anemia
TB,Pretomanid,Anorexia
TB,Pretomanid,Back pain
TB,Pretomanid,Belching
TB,Pretomanid,"Black, tarry, stools"
TB,Pretomanid,Bleeding gums
TB,Pretomanid,Blemishes on the skin
TB,Pretomanid,Blindness
TB,Pretomanid,Bloating
TB,Pretomanid,Blood in the urine or stools
TB,Pretomanid,Blurred vision
TB,Pretomanid,"Burning, numbness, tingling, or painful sensations"
TB,Pretomanid,Change in taste
TB,Pretomanid,Chest pain that gets worse with breathing or coughing
TB,Pretomanid,Chills
TB,Pretomanid,Clay colored stools
TB,Pretomanid,Cold hands and feet
TB,Pretomanid,Coma
TB,Pretomanid,Constipation
TB,Pretomanid,Cough
TB,Pretomanid,Cough with mucus or blood
TB,Pretomanid,Dark urine
TB,Pretomanid,Decreased appetite
TB,Pretomanid,Decreased urine output
TB,Pretomanid,Decreased vision
TB,Pretomanid,Diarrhea
TB,Pretomanid,Difficulty breathing
TB,Pretomanid,Drowsiness
TB,Pretomanid,Dry mouth
TB,Pretomanid,Dry skin
TB,Pretomanid,Dyspepsia
TB,Pretomanid,Easy bruising
TB,Pretomanid,Excess amylase in the blood
TB,Pretomanid,Eye pain
TB,Pretomanid,Fast or irregular heartbeat
TB,Pretomanid,Feeling light-headed
TB,Pretomanid,Fever
TB,Pretomanid,Fluttering in your chest
TB,Pretomanid,Headache
TB,Pretomanid,Heartburn
TB,Pretomanid,Hemoptysis
TB,Pretomanid,Hepatotoxicity
TB,Pretomanid,Hives
TB,Pretomanid,Hypoglycemia
TB,Pretomanid,Increased gamma-glutamyltransferases
TB,Pretomanid,Increased thirst
TB,Pretomanid,Increased transaminases
TB,Pretomanid,Indigestion
TB,Pretomanid,Irregular heartbeat
TB,Pretomanid,Itching or skin rash
TB,Pretomanid,Jaundice (yellowing of the skin or eYes)
TB,Pretomanid,Lightheadedness
TB,Pretomanid,Loss of appetite
TB,Pretomanid,Low blood sugar (hypoglycemia)
TB,Pretomanid,Lower back or side pain
TB,Pretomanid,Lower respiratory tract infection
TB,Pretomanid,Mood or mental changes
TB,Pretomanid,Muscle and bone pain or cramps
TB,Pretomanid,Muscle spasms (tetany) or twitching
TB,Pretomanid,Nausea and vomiting
TB,Pretomanid,Nerve problems
TB,Pretomanid,"Numbness tingling, burning, or prickly feeling in arms, hands, legs, or feet"
TB,Pretomanid,Painful or difficult urination
TB,Pretomanid,"Pains in the stomach, side, or abdomen, possibly radiating to the back"
TB,Pretomanid,Pale skin
TB,Pretomanid,Peripheral neuropathy
TB,Pretomanid,Pimples
TB,Pretomanid,Pinpoint red spots on the skin
TB,Pretomanid,Pleuritic pain
TB,Pretomanid,Problems with balance
TB,Pretomanid,Pruritus
TB,Pretomanid,Rash
TB,Pretomanid,Seizures
TB,Pretomanid,Severe ongoing nausea and vomiting
TB,Pretomanid,Shortness of breath
TB,Pretomanid,Sore throat
TB,Pretomanid,Sudden dizziness
TB,Pretomanid,"Swelling of the face, ankles, or hands"
TB,Pretomanid,Swelling of the feet or lower legs
TB,Pretomanid,"Swelling of your face, lips, tongue, or throat"
TB,Pretomanid,Swollen glands
TB,Pretomanid,Tingling
TB,Pretomanid,Tiredness
TB,Pretomanid,Trembling
TB,Pretomanid,Tremors
TB,Pretomanid,Trouble sleeping
TB,Pretomanid,Troubled breathing with exertion
TB,Pretomanid,"Ulcers, sores, or white spots in the mouth"
TB,Pretomanid,Unsteadiness or awkwardness
TB,Pretomanid,Unusual bleeding or bruising
TB,Pretomanid,Unusual tiredness or weakness
TB,Pretomanid,Unusual weight loss
TB,Pretomanid,Vision changes
TB,Pretomanid,Visual impairment
TB,Pretomanid,"Weakness in the arms, hands, legs, or feet"
TB,Pretomanid,Weight loss
TB,Pretomanid,Yellow eyes or skin (jaundice)
TB,Rifampicin,Abdominal discomfort
TB,Rifampicin,Acute haemolytic anaemia
TB,Rifampicin,Acute interstitial nephritis
TB,Rifampicin,Bleeding breakthrough
TB,Rifampicin,Digestion impaired
TB,Rifampicin,Epigastric distress
TB,Rifampicin,Hepatocellular injury
TB,Rifampicin,Infestation NOS
TB,Rifampicin,Liver function test abnormal
TB,Rifampicin,Numbness generalized
TB,Rifampicin,Pemphigoid reaction
TB,Rifampicin,Pseudomembranous colitis
TB,Rifampicin,Reaction gastrointestinal
TB,Rifampicin,Sore mouth
TB,Rifampicin,Unspecified disorder of skin and subcutaneous tissue
TB,Rifampicin,Visual disturbance
TB,Ciprofloxacin,AGEP
TB,Ciprofloxacin,Abdominal aortic bruit
TB,Ciprofloxacin,Abdominal discomfort
TB,Ciprofloxacin,Abdominal pain lower
TB,Ciprofloxacin,Abnormal dreams
TB,Ciprofloxacin,Abnormal vision
TB,Ciprofloxacin,Accidental injury
TB,Ciprofloxacin,Ache wrists
TB,Ciprofloxacin,Allergic oedema
TB,Ciprofloxacin,Amylase increased
TB,Ciprofloxacin,Anaphylactoid reaction
TB,Ciprofloxacin,Antibiotic associated colitis
TB,Ciprofloxacin,Application site pain
TB,Ciprofloxacin,Bad taste
TB,Ciprofloxacin,Blood monocytes increased
TB,Ciprofloxacin,Bone and joint infections
TB,Ciprofloxacin,Candiduria
TB,Ciprofloxacin,Cerebral thrombosis
TB,Ciprofloxacin,Cholesterol serum elevated
TB,Ciprofloxacin,Chromatopsia
TB,Ciprofloxacin,Chromosomal mutation
TB,Ciprofloxacin,Completed suicide
TB,Ciprofloxacin,Conjunctival hyperaemia
TB,Ciprofloxacin,Conjunctival oedema
TB,Ciprofloxacin,Convulsive seizure
TB,Ciprofloxacin,Coordination abnormal
TB,Ciprofloxacin,Corneal deposits
TB,Ciprofloxacin,Corneal epithelium defect
TB,Ciprofloxacin,Corneal staining
TB,Ciprofloxacin,Cough increased
TB,Ciprofloxacin,Creatinine low
TB,Ciprofloxacin,Creatinine renal clearance decreased
TB,Ciprofloxacin,Cross resistance
TB,Ciprofloxacin,Crystalluria
TB,Ciprofloxacin,Cystitis haemorrhagic
TB,Ciprofloxacin,Deafness transitory
TB,Ciprofloxacin,Decreased appetite
TB,Ciprofloxacin,Disorientation
TB,Ciprofloxacin,Disturbance in attention
TB,Ciprofloxacin,Drug fever
TB,Ciprofloxacin,Drug intolerance
TB,Ciprofloxacin,Dry eye
TB,Ciprofloxacin,Ear pruritus
TB,Ciprofloxacin,Electrolyte abnormality
TB,Ciprofloxacin,Epidermolysis
TB,Ciprofloxacin,Epigastric pain
TB,Ciprofloxacin,Eruption
TB,Ciprofloxacin,Erythema of eyelid
TB,Ciprofloxacin,Eye discharge
TB,Ciprofloxacin,Eye irritation
TB,Ciprofloxacin,Eye pruritus
TB,Ciprofloxacin,Eye swelling
TB,Ciprofloxacin,Eyelid exfoliation
TB,Ciprofloxacin,Eyelid margin crusting
TB,Ciprofloxacin,Eyelid oedema
TB,Ciprofloxacin,Fixed eruption
TB,Ciprofloxacin,Foot pain
TB,Ciprofloxacin,Foreign body sensation in eyes
TB,Ciprofloxacin,Gastrointestinal candidiasis
TB,Ciprofloxacin,Gout flare
TB,Ciprofloxacin,Hepatic impairment
TB,Ciprofloxacin,Hepatocellular injury
TB,Ciprofloxacin,Hypoaesthesia eye
TB,Ciprofloxacin,Impaired healing
TB,Ciprofloxacin,Increased appetite
TB,Ciprofloxacin,Infestation NOS
TB,Ciprofloxacin,Infusion site reactions
TB,Ciprofloxacin,Injection site pain
TB,Ciprofloxacin,International normalised ratio decreased
TB,Ciprofloxacin,Joint sprain
TB,Ciprofloxacin,Joint swelling
TB,Ciprofloxacin,Keratopathy
TB,Ciprofloxacin,Kidney function abnormal
TB,Ciprofloxacin,Laboratory test abnormal
TB,Ciprofloxacin,Lacrimation increased
TB,Ciprofloxacin,Lactic dehydrogenase activity increased
TB,Ciprofloxacin,Leg pain
TB,Ciprofloxacin,Lightheadedness
TB,Ciprofloxacin,Liver function test abnormal
TB,Ciprofloxacin,Manic psychosis
TB,Ciprofloxacin,Medication residue
TB,Ciprofloxacin,NPN increased
TB,Ciprofloxacin,Necrolysis epidermal
TB,Ciprofloxacin,Nephropathy toxic
TB,Ciprofloxacin,Night cramps
TB,Ciprofloxacin,Nosocomial pneumonia
TB,Ciprofloxacin,Ocular discomfort
TB,Ciprofloxacin,Ocular hyperaemia
TB,Ciprofloxacin,Ocular toxicity
TB,Ciprofloxacin,Pain in arm
TB,Ciprofloxacin,Paranasal sinus hypersecretion
TB,Ciprofloxacin,Phosphatase alkaline increased
TB,Ciprofloxacin,Photopsia
TB,Ciprofloxacin,Platelet count decreased
TB,Ciprofloxacin,Pneumonia anthrax
TB,Ciprofloxacin,Pneumonia klebsiella
TB,Ciprofloxacin,Prothrombin level abnormal
TB,Ciprofloxacin,Prothrombin level decreased
TB,Ciprofloxacin,Prothrombin level increased
TB,Ciprofloxacin,Prothrombin time shortened
TB,Ciprofloxacin,Pruritus genital
TB,Ciprofloxacin,Pseudomembranous colitis
TB,Ciprofloxacin,Punctate epithelial erosion
TB,Ciprofloxacin,Punctate keratitis
TB,Ciprofloxacin,Red blood cell sedimentation rate increased
TB,Ciprofloxacin,Renal vasculitis
TB,Ciprofloxacin,Retrosternal pain
TB,Ciprofloxacin,Rigors
TB,Ciprofloxacin,Scab
TB,Ciprofloxacin,Serum albumin decreased
TB,Ciprofloxacin,Serum calcium increased
TB,Ciprofloxacin,Serum potassium decreased
TB,Ciprofloxacin,Serum potassium increased
TB,Ciprofloxacin,Serum sickness-like reaction
TB,Ciprofloxacin,Serum total protein decreased
TB,Ciprofloxacin,Skin haemorrhage
TB,Ciprofloxacin,Stinging
TB,Ciprofloxacin,Suprapubic pain
TB,Ciprofloxacin,Surgical intervention
TB,Ciprofloxacin,Sweating increased
TB,Ciprofloxacin,Swollen tongue
TB,Ciprofloxacin,Tendon rupture
TB,Ciprofloxacin,Tongue discolouration
TB,Ciprofloxacin,Tongue oedema
TB,Ciprofloxacin,Transaminases increased
TB,Ciprofloxacin,Trembling
TB,Ciprofloxacin,Tubulointerstitial nephritis
TB,Ciprofloxacin,Ulcerative stomatitis
TB,Ciprofloxacin,Unspecified disorder of skin and subcutaneous tissue
TB,Ciprofloxacin,Uric acid level increased
TB,Ciprofloxacin,Urine odour abnormal
TB,Ciprofloxacin,Vaginal itching
TB,Ciprofloxacin,Vaginal moniliasis
TB,Ciprofloxacin,Vesiculobullous rash
TB,Ciprofloxacin,Visual acuity reduced
TB,Ciprofloxacin,Visual colour distortions
TB,Ciprofloxacin,Visual disturbance
TB,Rifamate,"A burning, numbness, or tingling feeling that is not normal"
TB,Rifamate,A heartbeat that does not feel normal
TB,Rifamate,Abnormal behavior
TB,Rifamate,Acidosis
TB,Rifamate,Allergic reactions
TB,Rifamate,Any unexplained bruising or bleeding
TB,Rifamate,Change in balance
TB,Rifamate,Change in color of body fluids to orange or red
TB,Rifamate,"Change in eyesight, eye pain, or very bad eye irritation"
TB,Rifamate,Change in tooth color  these changes may be long-lasting
TB,Rifamate,Chest pain
TB,Rifamate,Chills
TB,Rifamate,Clay-colored stools
TB,Rifamate,Cough
TB,Rifamate,Dark urine
TB,Rifamate,Diarrhea
TB,Rifamate,Difficulty breathing
TB,Rifamate,Dizziness or passing out
TB,Rifamate,Easy bruising
TB,Rifamate,"Feeling confused, not able to focus, or change in behavior"
TB,Rifamate,Feeling sleepy
TB,Rifamate,Feeling very tired or weak
TB,Rifamate,"Fever, chills, or sore throat"
TB,Rifamate,Flu-like signs
TB,Rifamate,Gas
TB,Rifamate,Hallucinations
TB,Rifamate,Headache
TB,Rifamate,Heartburn
TB,Rifamate,Hives
TB,Rifamate,Itching
TB,Rifamate,Joint pain or swelling
TB,Rifamate,Little or no urine
TB,Rifamate,Loss of appetite
TB,Rifamate,Lupus
TB,Rifamate,Memory problems or loss
TB,Rifamate,Muscle or bone pain or weakness
TB,Rifamate,Nausea
TB,Rifamate,Not hungry
TB,Rifamate,Numbness or tingling in your hands or feet
TB,Rifamate,Pale skin
TB,Rifamate,Pancreas problem (pancreatitis)
TB,Rifamate,Period (menstrual) changes
TB,Rifamate,Purple or red pinpoint spots under your skin
TB,Rifamate,Purple spots or redness of the skin
TB,Rifamate,Rash
TB,Rifamate,"Red-orange coloration of tears, sweat, saliva, urine, or feces"
TB,Rifamate,Seizures
TB,Rifamate,Shortness of breath
TB,Rifamate,Sore throat
TB,Rifamate,Stomach cramps
TB,Rifamate,Stomach pain or diarrhea
TB,Rifamate,"Swelling of your face, lips, tongue, or throat,"
TB,Rifamate,Swollen gland
TB,Rifamate,Tiredness
TB,Rifamate,"Unusual bleeding (nose, mouth, vagina, or rectum)"
TB,Rifamate,Unusual bruising or bleeding
TB,Rifamate,Unusual thoughts or behavior
TB,Rifamate,Upper stomach pain
TB,Rifamate,Upset stomach or throwing up
TB,Rifamate,Vision changes
TB,Rifamate,Vomiting
TB,Rifamate,Weakness
TB,Rifamate,Yellowing of the skin or eyes (jaundice)
TB,Cycloserine,Disorientation
TB,Cycloserine,Hyperreflexia
TB,Ofloxacin,Abnormal vision
TB,Ofloxacin,Acute overdose
TB,Ofloxacin,Anaphylactoid reaction
TB,Ofloxacin,Application site reaction
TB,Ofloxacin,Blood urea increased
TB,Ofloxacin,Bullous eruption
TB,Ofloxacin,CNS depression NOS
TB,Ofloxacin,Candiduria
TB,Ofloxacin,Cerebral thrombosis
TB,Ofloxacin,Chemical conjunctivitis
TB,Ofloxacin,Condition aggravated
TB,Ofloxacin,Coordination abnormal
TB,Ofloxacin,Corneal erosion
TB,Ofloxacin,Cramps of lower extremities
TB,Ofloxacin,Cross resistance
TB,Ofloxacin,Crystalluria
TB,Ofloxacin,Decreased appetite
TB,Ofloxacin,Diabetic
TB,Ofloxacin,Disorientation
TB,Ofloxacin,Distress gastrointestinal
TB,Ofloxacin,Dry eye
TB,Ofloxacin,Ear haemorrhage
TB,Ofloxacin,Electroencephalogram abnormal
TB,Ofloxacin,Electrolyte abnormality
TB,Ofloxacin,Eye oedema
TB,Ofloxacin,Eye pruritus
TB,Ofloxacin,Eyelids pruritus
TB,Ofloxacin,Feeling of body temperature change
TB,Ofloxacin,Function kidney decreased
TB,Ofloxacin,Gastrointestinal symptom NOS
TB,Ofloxacin,Genital candidiasis
TB,Ofloxacin,Glucose low
TB,Ofloxacin,Hepatic enzyme increased
TB,Ofloxacin,Hepatitis acute
TB,Ofloxacin,Hepatitis symptom
TB,Ofloxacin,Hepatotoxicity
TB,Ofloxacin,Hypertension worsened
